,Month,Day,Hour,electron,cool,heat
127,1,6,6,14976.88,101.69,1956.03
128,1,6,7,14504.25,100.13,1891.55
129,1,6,8,14238,99.63,2055.4
130,1,6,9,16430.97,96.68,2082.92
131,1,6,10,18954.52,99.19,2547.16
132,1,6,11,21327.88,106.35,3250.18
133,1,6,12,23054.55,114.52,3911.01
134,1,6,13,22106.94,118.06,4195.46
135,1,6,14,21500.44,119.61,4383.67
136,1,6,15,18375.94,119.29,4380.29
137,1,6,16,15698.14,114.91,4127.81
138,1,6,17,14148.88,112.41,3981.11
139,1,6,18,13134.79,106.73,3557.83
140,1,6,19,12667.27,101.79,3211.4
141,1,6,20,12495.97,98.25,2975.72
142,1,6,21,13926.52,99.61,2717.44
143,1,6,22,15000.31,100.42,2448.5
144,1,6,23,14238.1,94.08,2061.73
145,1,7,0,13770.68,90.43,1765.27
146,1,7,1,13864.86,91.36,1799.63
147,1,7,2,14046.8,92.4,1793.3
148,1,7,3,14035.85,92,1709.92
149,1,7,4,14096.9,95.24,1880.95
150,1,7,5,14666.95,98.62,1865.58
151,1,7,6,15242.57,103.77,2051.82
152,1,7,7,14309.88,101.2,2017.65
153,1,7,8,13895.68,99.74,2112.32
154,1,7,9,16124.68,98.26,2231.83
155,1,7,10,19039.3,102.21,2719.59
156,1,7,11,21169.45,106.81,3254.68
157,1,7,12,22174.81,110.55,3650.42
158,1,7,13,22728.46,114.58,3954.02
159,1,7,14,21993.86,118.55,4318.41
160,1,7,15,19984.07,120.94,4580.12
161,1,7,16,16860.41,120.8,4556.06
162,1,7,17,14480.27,116.06,4255.22
163,1,7,18,13353.33,108.93,3652.47
164,1,7,19,12778.07,102.18,3220.63
165,1,7,20,12469.52,97.52,2914.09
166,1,7,21,14202.31,100.7,2669.91
167,1,7,22,15367.11,101.3,2364.54
168,1,7,23,14782.38,97.03,2120.56
169,1,8,0,14140.25,93.12,1903.09
170,1,8,1,13919.41,91.71,1841.4
171,1,8,2,13914.2,92.17,1856.29
172,1,8,3,14496.07,94.34,1835.69
173,1,8,4,14669.42,98.03,1938.78
174,1,8,5,14443.18,97.81,1860.05
175,1,8,6,15091.84,102.74,1990.78
176,1,8,7,13972.7,100.91,2089.48
177,1,8,8,13601.51,97.23,2016.29
178,1,8,9,16147.05,98.57,2274.44
179,1,8,10,19037.66,99.79,2565.28
180,1,8,11,20985.88,105.46,3196.51
181,1,8,12,22438.18,110.18,3660.1
182,1,8,13,21724.21,114.8,3966.64
183,1,8,14,19320,113.55,3922.11
184,1,8,15,16918.31,112.75,3853.51
185,1,8,16,15805.07,112.05,3830.58
186,1,8,17,13930.37,109.31,3695.5
187,1,8,18,13133.43,104.28,3282.09
188,1,8,19,12699.31,99.41,2974.31
189,1,8,20,13225.1,99.6,2864.41
190,1,8,21,13716.82,99.33,2649.12
191,1,8,22,15147.69,100.92,2391.36
192,1,8,23,14618.01,96.71,2168.69
193,1,9,0,13570.05,91.17,1907.09
194,1,9,1,13575.23,90.13,1810.49
195,1,9,2,13555.47,90.63,1800.83
196,1,9,3,13533.25,90.01,1692.27
197,1,9,4,14138.88,94.79,1820.93
198,1,9,5,13633.79,93.79,1792.44
199,1,9,6,14080.79,96.97,1808.91
200,1,9,7,13827.51,98.25,1955.61
201,1,9,8,13440.56,94.26,1866.85
202,1,9,9,15794.03,94.55,2034.77
203,1,9,10,18378.29,92.81,2094.48
204,1,9,11,20817.02,97.02,2514.52
205,1,9,12,22461.78,100.84,2937.15
206,1,9,13,22823.12,104.4,3199.71
207,1,9,14,22858.61,110.46,3549.08
208,1,9,15,21733.42,117.33,3942.25
209,1,9,16,17962.77,115.21,3836.88
210,1,9,17,14774.43,109.08,3483.18
211,1,9,18,13688.41,102.97,3059.81
212,1,9,19,13429.89,100.94,2886.48
213,1,9,20,13059.29,97.07,2713.11
214,1,9,21,12713.61,94.88,2541.72
215,1,9,22,12475.99,92.47,2353.57
216,1,9,23,12121.56,89.8,2204.38
217,1,10,0,11879.15,87.74,2105.22
218,1,10,1,11735.1,85.61,1887.84
219,1,10,2,11793.74,86.02,1911.74
220,1,10,3,11792.33,85.97,1808.56
221,1,10,4,11442.49,83.44,1715.43
222,1,10,5,12137.71,88.12,1762.57
223,1,10,6,12790.05,93.41,1927.58
224,1,10,7,12937.79,94.97,1989.18
225,1,10,8,13371.12,94.11,1980.29
226,1,10,9,16126.1,95.43,2187.47
227,1,10,10,19078.81,96.96,2484.21
228,1,10,11,21331.92,100.72,2878.96
229,1,10,12,23421.6,105.33,3156.22
230,1,10,13,23885.15,111.93,3537.68
231,1,10,14,23011.15,112.12,3632.63
232,1,10,15,21224.49,113.35,3749.13
233,1,10,16,17999.15,113.77,3759.31
234,1,10,17,15510.5,110.96,3484.03
235,1,10,18,14188.62,105.45,3154.08
236,1,10,19,13288.31,99.09,2792.2
237,1,10,20,13114.41,95.78,2608.69
238,1,10,21,12912.93,94.37,2391
239,1,10,22,12624.83,91.73,2168.59
240,1,10,23,12246.95,89.44,2047.02
241,1,11,0,12418.32,88.23,1855.54
242,1,11,1,12354.81,86.86,1754.23
243,1,11,2,12447.42,88.47,1816.5
244,1,11,3,12514.69,88.38,1736.81
245,1,11,4,12736.4,91.01,1862.3
246,1,11,5,13307.55,95.71,1949.04
247,1,11,6,13654.97,99.06,2108.04
248,1,11,7,13612.33,99.91,2171.04
